,,,Availability,,,
Company,Quarter,Sector,Transcript,Notes,PPT,Concall Audio
HINDUSTAN AERONAUTICS LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,FALSE,TRUE
IDEAFORGE TECHNO LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,FALSE
KRISHNA DEF AND ALD IND L,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
MISHRA DHATU NIGAM LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,FALSE,TRUE
MTAR TECHNOLOGIES LIMITED,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,FALSE
NIBE LIMITED,Q4-2025,Aerospace and Defense,FALSE,FALSE,FALSE,FALSE
PARAS DEF AND SPCE TECH L,Q4-2025,Aerospace and Defense,FALSE,FALSE,TRUE,FALSE
ROSSELL TECHSYS LIMITED,Q4-2025,Aerospace and Defense,FALSE,FALSE,TRUE,FALSE
TECHERA ENGINEER (IND) L,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
UNIMECH AEROSPACE N MFG L,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
ZEN TECHNOLOGIES LIMITED,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
ATHER ENERGY LIMITED,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
BAJAJ AUTO LIMITED,Q4-2025,Automobiles,TRUE,TRUE,FALSE,TRUE
BIKEWO GREEN TECH LIMITED,Q4-2025,Automobiles,FALSE,FALSE,FALSE,FALSE
DELTA AUTOCORP LIMITED,Q4-2025,Automobiles,TRUE,TRUE,TRUE,FALSE
EICHER MOTORS LTD,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
FORCE MOTORS LIMITED,Q4-2025,Automobiles,FALSE,FALSE,FALSE,FALSE
HERO MOTOCORP LIMITED,Q4-2025,Automobiles,TRUE,TRUE,FALSE,TRUE
HINDUSTAN MOTORS LIMITED,Q4-2025,Automobiles,FALSE,FALSE,FALSE,FALSE
HYUNDAI MOTOR INDIA LTD,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
LANDMARK CARS LIMITED,Q4-2025,Automobiles,TRUE,TRUE,TRUE,FALSE
MAHINDRA & MAHINDRA LTD,Q4-2025,Automobiles,TRUE,TRUE,TRUE,FALSE
